feeder,topology,portfolio,native_dc_share,converter_efficiency,spatial_allocations,all_ac_count,hybrid_count,root_dc_count,mean_dc_bus_fraction,mean_dc_energy_fraction,mean_loss_change_pct,median_loss_change_pct,minimum_loss_change_pct,maximum_loss_change_pct,distinct_boundary_signatures,all_ac_pct,hybrid_pct,root_dc_pct
rural,synthetic_mst,K0,0.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.25,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.25,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.25,0.98,3,0,3,0,0.10256410256410257,0.045973364807111484,-3.3852180853622293,-3.302604564470297,-6.278123097383932,-0.5749265942324595,3,0.0,100.0,0.0
rural,synthetic_mst,K0,0.25,0.99,3,0,3,0,0.12820512820512822,0.11590163772841777,-13.81067649851174,-11.16501391990169,-20.31114214816224,-9.955873427471293,3,0.0,100.0,0.0
rural,synthetic_mst,K0,0.5,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.5,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.5,0.98,3,0,3,0,0.17948717948717952,0.19099805471857903,-11.72036627899742,-15.063056364936205,-16.798683207313253,-3.2993592647427996,3,0.0,100.0,0.0
rural,synthetic_mst,K0,0.5,0.99,3,0,3,0,0.2820512820512821,0.27123005718092,-21.309361745035066,-26.573194785257385,-31.487310036688992,-5.867580413158817,3,0.0,100.0,0.0
rural,synthetic_mst,K0,0.75,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.75,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,0.75,0.98,3,0,3,0,0.38461538461538464,0.37466973243481555,-15.787861715146848,-15.63185691436396,-17.48836934535418,-14.243358885722406,3,0.0,100.0,0.0
rural,synthetic_mst,K0,0.75,0.99,3,0,3,0,0.6153846153846154,0.550292687713404,-29.85430243788465,-30.451144870644793,-31.991501914797087,-27.120260528212075,3,0.0,100.0,0.0
rural,synthetic_mst,K0,1.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,1.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K0,1.0,0.98,3,0,0,3,1.0,1.0,-35.6965630669151,-35.6965630669151,-35.6965630669151,-35.6965630669151,1,0.0,0.0,100.0
rural,synthetic_mst,K0,1.0,0.99,3,0,0,3,1.0,1.0,-59.78557364140695,-59.78557364140694,-59.78557364140694,-59.78557364140694,1,0.0,0.0,100.0
rural,synthetic_mst,K1,0.0,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.0,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.0,0.98,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.0,0.99,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.25,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.25,0.96,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
rural,synthetic_mst,K1,0.25,0.98,3,1,2,0,0.07692307692307693,0.040805220738256515,-2.730130963652608,-2.6407909674846706,-5.549601923473154,0.0,3,33.33333333333333,66.66666666666666,0.0
rural,synthetic_mst,K1,0.25,0.99,3,0,3,0,0.12820512820512822,0.11590163772841777,-12.3143675339536,-10.396400886006173,-17.578199497489035,-8.96850221836559,3,0.0,100.0,0.0
rural,synthetic_mst,K1,0.5,0.94,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,0.0,0.0
